# Last modified: 07-11-2017@22:02:00
# LRG_TRANSCRIPT	HGNC_SYMBOL	CHROMOSOME	STRAND	TRANSCRIPT_START	TRANSCRIPT_STOP	EXONS_COORDS	LRG_PROTEIN	CDS_START	CDS_STOP
LRG_29t1	C6	5	-1	41142336	41213667	41142336-41143108,41149343-41149584,41150037-41150127,41153912-41154100,41155074-41155206,41158776-41158887,41159184-41159355,41160244-41160469,41161795-41161961,41172327-41172449,41176577-41176817,41181461-41181661,41186172-41186310,41195894-41196035,41199870-41200014,41201660-41201816,41203190-41203352,41213478-41213667	LRG_29p1	41142927	41203332
LRG_30t1	C7	5	1	40909599	40983041	40909599-40909718,40928682-40928737,40931166-40931241,40934427-40934568,40936440-40936587,40937654-40937792,40945300-40945470,40947704-40947947,40950006-40950116,40955489-40955655,40958135-40958363,40959551-40959722,40962187-40962274,40964843-40964975,40972505-40972696,40976852-40976942,40979827-40980011,40981494-40983041	LRG_30p1	40909713	40981675
LRG_31t1	C8B	1	-1	57394883	57431688	57394883-57395231,57397483-57397551,57399008-57399161,57406522-57406685,57409369-57409497,57411494-57411734,57415228-57415425,57417721-57417853,57420359-57420500,57422442-57422583,57425693-57425849,57431530-57431688	LRG_31p1	57395077	57431621
LRG_32t1	C9	5	-1	39284377	39364655	39284377-39285335,39288825-39289053,39306719-39306894,39308332-39308460,39311239-39311479,39315877-39316131,39331778-39331916,39341248-39341395,39341658-39341802,39342193-39342298,39364490-39364655	LRG_32p1	39285301	39364566
LRG_33t1	CASP10	2	1	202047621	202086383	202047621-202048031,202050494-202050847,202052429-202052522,202057707-202057842,202060565-202060671,202068453-202068489,202070605-202070696,202072798-202072906,202073793-202074285,202082311-202086383	LRG_33p1	202050501	202082464
LRG_34t1	CASP8	2	1	202098166	202152434	202098166-202098345,202098739-202098835,202131184-202131514,202134233-202134328,202136239-202136344,202137361-202137499,202139612-202139676,202141550-202141691,202149539-202150040,202151182-202152434	LRG_34p1	202131210	202151317
LRG_34t2	CASP8	2	1	202098166	202152434	202098166-202098277,202098739-202098835,202131210-202131514,202136239-202136344,202137361-202137499,202137621-202137665,202139612-202139676,202141550-202141691,202149539-202150040,202151182-202152434	LRG_34p2	202131210	202151317
LRG_35t1	CD19	16	1	28943260	28950668	28943260-28943409,28943667-28943933,28944232-28944435,28944555-28944830,28946765-28946875,28947474-28947522,28947833-28947921,28948344-28948457,28948592-28948696,28948776-28948844,28948945-28949001,28949090-28949146,28949997-28950089,28950193-28950299,28950462-28950668	LRG_35p1	28943322	28950284
LRG_36t1	CD247	1	-1	167399877	167487847	167399877-167400983,167402261-167402296,167403257-167403313,167404636-167404671,167407807-167407887,167408581-167408637,167409901-167410004,167487645-167487847	LRG_36p1	167400918	167487702
LRG_37t1	CD3D	11	-1	118209789	118213459	118209789-118209942,118210166-118210209,118210490-118210621,118211090-118211308,118213268-118213459	LRG_37p1	118209877	118213322
LRG_38t1	CD3E	11	1	118175295	118186890	118175295-118175491,118175609-118175716,118178003-118178023,118179142-118179156,118182868-118182885,118183333-118183581,118184422-118184589,118185163-118185209,118186201-118186890	LRG_38p1	118175668	118186257
LRG_39t1	CD3G	11	1	118215059	118224497	118215059-118215193,118219742-118219765,118220458-118220685,118221267-118221398,118222343-118222386,118223119-118223202,118223834-118224497	LRG_39p1	118215139	118223184
LRG_40t1	CD40	20	1	44746906	44758384	44746906-44747033,44750459-44750537,44750872-44750997,44751249-44751395,44751765-44751858,44755279-44755340,44756777-44756863,44756969-44756997,44757521-44758384	LRG_40p1	44746983	44757679
LRG_41t1	CD59	11	-1	33724556	33758025	33724556-33731889,33738916-33739017,33743925-33744009,33752970-33753014,33755041-33755156,33757928-33758025	LRG_41p1	33731672	33743991
LRG_42t1	CD79A	19	1	42381190	42385439	42381190-42381453,42383060-42383359,42383605-42383723,42384737-42384805,42384934-42385439	LRG_42p1	42381375	42385047
LRG_43t1	CD79B	17	-1	62006098	62009704	62006098-62006684,62006794-62006835,62007130-62007248,62007434-62007745,62008695-62008748,62009555-62009704	LRG_43p1	62006586	62009621
LRG_44t1	CD8A	2	-1	87011728	87018837	87011728-87013094,87015653-87015683,87016446-87016556,87016763-87016873,87017451-87017804,87017900-87018837	LRG_44p1	87013043	87017948
LRG_45t1	CEBPE	14	-1	23586515	23588474	23586515-23587031,23587791-23588474	LRG_45p1	23586696	23588300
LRG_46t1	CFD	19	1	859665	863624	859665-859744,860617-860773,860861-861005,861699-861956,863092-863624	LRG_46p1	859690	863238
LRG_47t1	CFH	1	1	196621008	196716634	196621008-196621305,196642108-196642293,196642987-196643092,196645119-196645195,196646606-196646797,196648753-196648923,196654194-196654367,196658550-196658744,196659193-196659369,196682865-196683047,196684723-196684899,196694251-196694427,196695600-196695782,196695891-196696070,196697476-196697652,196705954-196706136,196706605-196706790,196709749-196709922,196711005-196711181,196712582-196712758,196714947-196715129,196716241-196716634	LRG_47p1	196621248	196716443
LRG_48t1	CFI	4	-1	110661848	110723335	110661848-110662266,110663647-110663751,110667378-110667658,110670374-110670477,110670655-110670758,110673624-110673659,110678919-110678939,110681426-110681536,110681679-110681792,110682673-110682848,110685693-110685846,110687710-110687980,110723071-110723335	LRG_48p1	110662049	110723127
LRG_49t1	CIITA	16	1	10971055	11018840	10971055-10971239,10989139-10989285,10989526-10989621,10992527-10992589,10992782-10992859,10995371-10995415,10995895-10996041,10996515-10996658,10997588-10997752,10998601-10998669,11000356-11002006,11002886-11003044,11004045-11004116,11009427-11009507,11010224-11010316,11012297-11012383,11016024-11016107,11016264-11016347,11017085-11017182,11017735-11018840	LRG_49p1	10971188	11017160
LRG_50t1	CTSC	11	-1	88026760	88070941	88026760-88027676,88029301-88029432,88033698-88033813,88042331-88042486,88045556-88045722,88068105-88068250,88070669-88070941	LRG_50p1	88027174	88070840
LRG_51t1	CXCR4	2	-1	136871919	136875725	136871919-136873482,136875616-136875725	LRG_51p1	136872439	136875630
LRG_52t1	CYBA	16	-1	88709697	88717457	88709697-88709979,88712524-88712605,88713163-88713246,88713509-88713583,88714453-88714522,88717364-88717457	LRG_52p1	88709761	88717421
LRG_53t1	CYBB	X	1	37639270	37672714	37639270-37639375,37641341-37641436,37642743-37642853,37651228-37651312,37652918-37653063,37655204-37655394,37658208-37658337,37660509-37660601,37663130-37663383,37664259-37664421,37665640-37665786,37668820-37668944,37670044-37672714	LRG_53p1	37639331	37670170
LRG_54t1	DCLRE1C	10	-1	14948870	14996094	14948870-14951329,14961737-14961831,14964980-14965068,14968842-14968896,14970015-14970151,14974853-14974954,14976379-14976519,14976702-14976774,14977462-14977563,14978537-14978592,14981809-14981868,14987104-14987188,14991035-14991086,14995901-14996094	LRG_54p1	14950407	14996009
LRG_55t1	DKC1	X	1	153991031	154005964	153991031-153991256,153993174-153993241,153993719-153993805,153994182-153994273,153994491-153994675,153995272-153995336,153995531-153995657,153996577-153996707,153997442-153997585,153999034-153999154,154001406-154001524,154002877-154002980,154003470-154003548,154004462-154004599,154005074-154005964	LRG_55p1	153991241	154005142
LRG_56t1	DNMT3B	20	1	31350191	31397162	31350191-31350505,31368124-31368271,31369159-31369220,31372564-31372665,31374308-31374433,31375036-31375257,31376660-31376818,31379407-31379514,31380432-31380576,31381342-31381401,31383215-31383340,31383456-31383500,31384596-31384675,31384993-31385105,31386266-31386449,31387050-31387134,31387959-31388104,31388641-31388731,31389084-31389232,31390191-31390276,31393144-31393213,31394015-31394133,31395568-31397162	LRG_56p1	31368130	31395709
LRG_57t1	ELANE	19	1	852291	856246	852291-852395,852876-853032,853262-853403,855564-855794,855958-856246	LRG_57p1	852329	856164
LRG_58t1	FASLG	1	1	172628185	172636013	172628185-172628689,172629235-172629280,172633474-172633530,172634762-172636013	LRG_58p1	172628342	172635156
LRG_59t1	FCGR1A	1	1	149754250	149764074	149754250-149754330,149754726-149754746,149755559-149755813,149759922-149760173,149761610-149761894,149762793-149764074	LRG_59p1	149754300	149763073
LRG_60t1	FCGR3A	1	-1	161511549	161520413	161511549-161512989,161514491-161514748,161518211-161518468,161518801-161518821,161519487-161519588,161520321-161520413	LRG_60p1	161512802	161519526
LRG_61t1	FOXN1	17	1	26850959	26865175	26850959-26851110,26851521-26851985,26854269-26854379,26856112-26856242,26857767-26857863,26861349-26861556,26861725-26862216,26864135-26865175	LRG_61p1	26850988	26864454
LRG_62t1	FOXP3	X	-1	49106897	49121288	49106897-49107944,49108125-49108226,49109587-49109663,49110378-49110528,49111890-49111970,49112176-49112263,49113208-49113312,49113382-49113469,49113884-49114022,49114121-49114225,49114753-49114984,49121123-49121288	LRG_62p1	49107795	49114962
LRG_63t1	GFI1	1	-1	92940318	92952433	92940318-92941764,92944145-92944310,92945905-92946042,92946158-92946645,92948421-92948603,92948930-92949143,92952283-92952433	LRG_63p1	92941586	92949044
LRG_64t1	HAX1	1	1	154245039	154248351	154245039-154245252,154245812-154246074,154246250-154246437,154247426-154247477,154247630-154247736,154247869-154247959,154248092-154248351	LRG_64p1	154245200	154248177
LRG_65t1	ICOS	2	1	204801471	204826300	204801471-204801595,204820359-204820694,204821382-204821488,204822522-204822606,204824309-204826300	LRG_65p1	204801538	204824322
LRG_66t1	IFNGR1	6	-1	137518621	137540567	137518621-137519776,137522018-137522145,137524636-137524822,137525469-137525641,137527273-137527445,137528100-137528214,137540380-137540567	LRG_66p1	137519168	137540464
LRG_67t1	IFNGR2	21	1	34775202	34809828	34775202-34775922,34787195-34787327,34793787-34793992,34799191-34799339,34804484-34804643,34805021-34805178,34809135-34809828	LRG_67p1	34775850	34809269
LRG_68t1	IGFBP3	7	-1	45951844	45960871	45951844-45953433,45954404-45954544,45956147-45956266,45956812-45957038,45960319-45960871	LRG_68p1	45954419	45960739
LRG_69t1	IGLL1	22	-1	23915312	23922495	23915312-23915772,23917154-23917269,23922172-23922495	LRG_69p1	23915453	23922377
LRG_70t1	IKBKG	X	1	153776062	153793261	153776062-153776304,153780203-153780404,153784380-153784591,153786747-153786865,153788622-153788774,153789903-153789999,153791025-153791168,153791774-153791916,153792174-153792235,153792534-153793261	LRG_70p1	153780218	153792676
LRG_71t1	IL12B	5	-1	158741791	158757481	158741791-158743108,158743693-158743824,158745744-158745901,158747314-158747528,158749402-158749519,158750062-158750337,158753703-158753790,158757440-158757481	LRG_71p1	158743693	158753790
LRG_72t1	IL12RB1	19	-1	18170371	18197697	18170371-18170423,18170704-18170895,18171932-18172007,18172991-18173087,18174686-18174820,18177352-18177507,18179199-18179336,18180356-18180523,18182922-18183159,18184327-18184409,18186559-18186678,18187107-18187137,18188326-18188465,18191642-18191811,18192960-18193074,18194242-18194301,18197570-18197697	LRG_72p1	18170418	18197633
LRG_73t1	IL2RA	10	-1	6052657	6104333	6052657-6054859,6060016-6060082,6061391-6061462,6061833-6061904,6063441-6063656,6066207-6066317,6067797-6067988,6104051-6104333	LRG_73p1	6054835	6104114
LRG_74t1	IL7R	5	1	35856991	35876924	35856991-35857161,35860954-35861092,35867408-35867565,35871158-35871315,35873582-35873750,35874551-35874644,35875614-35875689,35876085-35876924	LRG_74p1	35857080	35876588
LRG_75t1	IRAK4	12	1	44152747	44183346	44152747-44152819,44161906-44162075,44165023-44165168,44165983-44166165,44166715-44166875,44167768-44167832,44171433-44171547,44171996-44172105,44176110-44176293,44177465-44177527,44180202-44180360,44180483-44183346	LRG_75p1	44161915	44180518
LRG_76t1	ITGB2	21	-1	46305868	46340965	46305868-46306345,46306651-46306817,46308608-46308810,46309191-46309410,46309893-46310137,46311724-46311911,46313319-46313459,46314886-46314975,46318982-46319077,46320235-46320390,46321407-46321648,46323280-46323450,46326830-46327010,46330199-46330287,46330640-46330700,46340736-46340965	LRG_76p1	46306283	46330697
LRG_77t1	JAK3	19	-1	17935591	17958841	17935591-17937719,17940917-17941027,17941312-17941429,17942037-17942209,17942483-17942607,17943328-17943517,17943599-17943738,17945380-17945530,17945661-17945812,17945892-17946024,17946733-17946860,17947938-17948022,17948741-17948872,17949072-17949199,17950286-17950472,17951039-17951150,17952198-17952355,17952449-17952571,17953125-17953419,17953836-17953981,17954189-17954300,17954586-17954709,17955043-17955239,17958755-17958841	LRG_77p1	17937552	17955226
LRG_78t1	LIG1	19	-1	48618703	48673560	48618703-48618989,48619130-48619222,48620895-48621038,48622394-48622447,48624427-48624579,48626191-48626273,48626431-48626575,48630534-48630605,48631167-48631277,48634333-48634428,48636239-48636354,48637238-48637323,48638937-48639036,48639291-48639382,48640265-48640341,48640779-48640945,48643228-48643400,48646800-48646856,48647140-48647220,48653020-48653098,48653345-48653467,48654489-48654596,48657129-48657224,48660271-48660397,48664629-48664764,48665519-48665608,48668807-48668880,48673498-48673560	LRG_78p1	48618906	48668823
LRG_79t1	LIG4	13	-1	108859790	108867130	108859790-108863644,108866886-108867130	LRG_79p1	108860881	108863616
LRG_80t1	LRRC8A	9	1	131644391	131680318	131644391-131644529,131648294-131648400,131669436-131671600,131678375-131680318	LRG_80p1	131669444	131678650
LRG_81t1	LAMTOR2	1	1	156024517	156028301	156024517-156024748,156025054-156025216,156027769-156027858,156028106-156028301	LRG_81p1	156024681	156028162
LRG_82t1	MASP2	1	-1	11086580	11107296	11086580-11087705,11090233-11090307,11090805-11090939,11094885-11094963,11097750-11097868,11102932-11103079,11103396-11103592,11105465-11105596,11106613-11106790,11106948-11107176,11107260-11107296	LRG_82p1	11086942	11107264
LRG_82t2	MASP2	1	-1	11104855	11107296	11104855-11105010,11105465-11105596,11106613-11106790,11106948-11107176,11107260-11107296	LRG_82p2	11104997	11107264
LRG_83t1	MLPH	2	1	238395878	238463961	238395878-238396080,238402046-238402179,238419217-238419438,238419632-238419744,238427182-238427291,238428553-238428672,238434244-238434448,238436020-238436159,238443207-238443290,238448991-238449176,238449445-238449600,238451210-238451302,238455249-238455326,238457864-238457921,238460980-238461080,238462209-238463961	LRG_83p1	238402070	238462235
LRG_84t1	MPO	17	-1	56347217	56358296	56347217-56348224,56349016-56349253,56350109-56350279,56350775-56351030,56352903-56353063,56355188-56355506,56356369-56356575,56356658-56356787,56356884-56357007,56357200-56357375,56357727-56357820,56357966-56358296	LRG_84p1	56348017	56358119
LRG_85t1	MRE11	11	-1	94150466	94227040	94150466-94153347,94163077-94163152,94168998-94169065,94170343-94170401,94178976-94179059,94180385-94180604,94189442-94189504,94192574-94192747,94194102-94194202,94197279-94197405,94200979-94201059,94203637-94203808,94204740-94204925,94209455-94209569,94211901-94212042,94212840-94212927,94219090-94219250,94223999-94224131,94225948-94226072,94226957-94227040	LRG_85p1	94153291	94225967
LRG_86t1	MYO5A	15	-1	52599480	52821247	52599480-52606045,52606320-52606400,52609245-52609419,52611257-52611539,52613556-52613706,52615552-52615641,52620049-52620203,52622550-52622696,52628660-52628753,52632393-52632591,52635314-52635394,52638558-52638658,52641015-52641023,52643451-52643678,52645802-52645855,52646068-52646211,52652165-52652278,52656751-52656899,52659228-52659321,52662366-52662614,52664321-52664560,52667501-52667657,52668544-52668755,52671822-52671930,52672019-52672105,52675288-52675385,52676358-52676519,52680026-52680109,52681435-52681560,52684127-52684267,52688513-52688594,52689398-52689663,52697484-52697590,52699489-52699596,52700256-52700337,52702530-52702673,52708342-52708498,52718027-52718171,52720595-52720766,52725372-52725482,52820977-52821247	LRG_86p1	52605893	52821003
LRG_87t1	NCF1	7	1	74188309	74203720	74188309-74188450,74191613-74191693,74193428-74193503,74193603-74193768,74195126-74195181,74197282-74197404,74197868-74197975,74199528-74199645,74202328-74202432,74202903-74203048,74203383-74203720	LRG_87p1	74188379	74203504
