# Last modified: 07-11-2017@22:03:20
# LRG_ID	HGNC_SYMBOL	LRG_STATUS	CHROMOSOME	START	STOP	STRAND
LRG_241	FIG4	public	6	110007424	110148634	1
LRG_242	GAN	public	16	81343571	81415803	1
LRG_243	GARS	public	7	30629181	30675649	1
LRG_244	GDAP1	public	8	75228365	75403107	1
LRG_245	GJB1	public	X	70430062	70447065	1
LRG_246	HOXD10	public	2	176971492	176986670	1
LRG_247	WNK1	pending	12	857225	1022618	1
LRG_248	HSPB1	public	7	75926875	75935614	1
LRG_249	HSPB8	public	12	119611595	119660936	1
LRG_250	IGHMBP2	public	11	68666319	68710069	1
LRG_251	ELP1	public	9	111627800	111701608	-1
LRG_252	KIF1B	public	1	10265764	10443661	1
LRG_253	LITAF	public	16	11639578	11685806	-1
LRG_254	LMNA	public	1	156047364	156111878	1
LRG_255	MFN2	public	1	12035238	12075572	1
LRG_256	MPZ	public	1	161272525	161284762	-1
LRG_257	MTMR2	public	11	95564046	95662371	-1
LRG_258	NDRG1	public	8	134247414	134314498	-1
LRG_259	NEFL	public	8	24806468	24819131	-1
LRG_260	NGF	public	1	115826537	115885857	-1
LRG_261	NTRK1	public	1	156780542	156853642	1
LRG_262	PLEKHG5	public	1	6524152	6585069	-1
LRG_263	PMP22	public	17	15131096	15173644	-1
LRG_264	PRPS1	public	X	106866654	106896256	1
LRG_265	PRX	public	19	40897671	40924271	-1
LRG_266	RAB7A	public	3	128439979	128535641	1
LRG_267	SBF2	public	11	9798214	10320754	-1
LRG_268	SETX	public	9	135134827	135235372	-1
LRG_269	SH3TC2	public	5	148301202	148447737	-1
LRG_270	SLC12A6	public	15	34520197	34635265	-1
LRG_271	SOX10	public	22	38366319	38385539	-1
LRG_272	SPTLC1	public	9	94791427	94882690	-1
LRG_273	YARS	public	1	33238840	33288633	-1
LRG_274	LDLR	public	19	11195057	11246506	1
LRG_275	PCSK9	public	1	55500220	55532523	1
LRG_276	LDLRAP1	public	1	25865076	25897377	1
LRG_277	RECQL4	pending	8	145734667	145748210	-1
LRG_278	RNASEH2A	public	19	12912428	12926462	1
LRG_279	RNASEH2B	public	13	51478892	51546596	1
LRG_280	RNASEH2C	public	11	65480367	65493409	-1
LRG_281	SAMHD1	public	20	35518227	35585246	-1
LRG_282	TREX1	pending	3	48502229	48511044	1
LRG_283	LEPR	public	1	65881248	66109242	1
LRG_284	ZNF778	public	16	89279111	89297965	1
LRG_285	FXR2	public	17	7492548	7523215	-1
LRG_286	COL7A1	public	3	48599506	48637685	-1
LRG_287	KCNQ1	public	11	2461221	2872340	1
LRG_288	KCNH2	public	7	150640049	150680014	-1
LRG_289	SCN5A	public	3	38587553	38696163	-1
LRG_290	KCNE1	public	21	35816988	35888613	-1
LRG_291	KCNE2	public	21	35731323	35745440	1
LRG_292	BRCA1	public	17	41176312	41370000	-1
LRG_293	BRCA2	public	13	32884617	32975809	1
LRG_294	IRF8	public	16	85927774	85958212	1
LRG_295	GATA2	public	3	128196265	128217030	-1
LRG_296	AXIN2	public	17	63522681	63562740	-1
LRG_298	BMPR1A	public	10	88511396	88686945	1
LRG_299	BRAF	public	7	140417127	140629564	-1
LRG_300	BRIP1	public	17	59754547	59945920	-1
LRG_301	CDH1	public	16	68766195	68871444	1
LRG_302	CHEK2	pending	22	29081731	29142822	-1
LRG_303	CYP2D6	pending	22	42522044	42530997	-1
LRG_304	EGFR	public	7	55081725	55326313	1
LRG_306	FANCD2	public	3	10063113	10145614	1
LRG_307	KIT	public	4	55519161	55608855	1
LRG_308	PALB2	public	16	23612483	23657678	-1
LRG_309	PDGFRA	public	4	55090264	55166412	1
LRG_310	PIK3CA	public	3	178861311	178959881	1
LRG_311	PTEN	public	10	89618195	89733687	1
LRG_314	RAD51C	public	17	56764963	56813692	1
LRG_315	SDHA	pending	5	213356	258815	1
LRG_316	SDHB	public	1	17343217	17385665	-1
LRG_317	SDHC	public	1	161279166	161336541	1
LRG_318	SMAD4	public	18	48489410	48613412	1
LRG_319	STK11	public	19	1184406	1230434	1
LRG_321	TP53	public	17	7563097	7595868	-1
LRG_322	VHL	public	3	10178319	10195762	1
LRG_325	FLCN	public	17	17103963	17145502	-1
LRG_326	ZBTB24	public	6	109781719	109809440	-1
LRG_327	ANK2	public	4	113734239	114311884	1
LRG_328	KCNJ2	public	17	68160676	68178185	1
LRG_329	CAV3	public	3	8770496	8885492	1
LRG_330	SCN4B	public	11	118002092	118028630	-1
LRG_331	AKAP9	public	7	91565189	91741987	1
LRG_332	SNTA1	public	20	31993763	32036698	-1
LRG_333	KCNJ5	public	11	128756313	128792930	1
LRG_334	CACNA1C	public	12	2074952	2809115	1
LRG_335	ELF4	public	X	129196895	129249688	-1
LRG_336	CPS1	public	2	211337409	211545831	1
LRG_337	OPA1	public	3	193305933	193417600	1
LRG_338	LCT	public	2	136543415	136617739	-1
LRG_339	FXN	pending	9	71645479	71717094	1
LRG_340	DHCR7	public	11	71137239	71164477	-1
LRG_341	UNC119	public	17	26871725	26884646	-1
LRG_342	TINF2	pending	14	24706849	24716880	-1
LRG_343	TERT	public	5	1251282	1300162	-1
LRG_344	KRAS	pending	12	25356180	25408854	-1
LRG_345	NOP10	public	15	34631917	34640362	-1
LRG_346	NHP2	public	5	177574464	177585961	-1
LRG_347	TERC	public	3	169480398	169487848	-1
LRG_348	CR2	public	1	207622645	207665240	1
LRG_349	MASP1	public	3	186931873	187014810	-1
LRG_350	COLEC11	public	2	3637422	3694234	1
LRG_351	VPS13B	public	8	100020494	100891808	1
LRG_352	USB1	public	16	58030277	58057527	1
LRG_353	MAGT1	public	X	77079861	77156065	-1
LRG_354	ITCH	public	20	32946062	33101197	1
LRG_355	IL17RA	public	22	17560851	17598584	1
LRG_356	IL17F	public	6	52099484	52114298	-1
LRG_357	CD27	public	12	6549051	6562884	1
LRG_358	TICAM1	public	19	4813936	4836754	-1
LRG_359	AARS	public	16	70284297	70328412	-1
LRG_360	ATL1	public	14	50994800	51101786	1
LRG_361	CCT5	public	5	10245282	10268501	1
LRG_362	DNMT1	public	19	10242022	10346962	-1
LRG_363	RETREG1	public	5	16471147	16622118	-1
LRG_364	FBLN5	public	14	92333755	92419046	-1
LRG_365	HK1	public	10	71024756	71163638	1
LRG_366	KARS	public	16	75659622	75686585	-1
LRG_367	KIF1A	public	2	241651184	241764624	-1
LRG_368	MED25	public	19	50316536	50342237	1
LRG_369	SCN9A	public	2	167049695	167237497	-1
LRG_370	SEPT9	pending	17	75272492	75498678	1
LRG_371	SPTLC2	public	14	77970340	78088110	-1
LRG_372	TRPV4	public	12	110218892	110276212	-1
LRG_373	LRSAM1	public	9	130208765	130267780	1
LRG_374	WIPF1	public	2	175422302	175552627	-1
LRG_375	WRAP53	public	17	7584389	7608820	1
LRG_376	PLCG2	public	16	81767702	81993899	1
LRG_377	ABCC9	public	12	21948323	22094628	-1
LRG_378	TNNC1	public	3	52483107	52493057	-1
LRG_379	ANKRD1	public	10	92669857	92686032	-1
LRG_380	DES	public	2	220278099	220293461	1
LRG_381	CACNB2	pending	10	18424606	18832688	1
LRG_382	RBM20	public	10	112399155	112601227	1
LRG_383	VCL	public	10	75752872	75881918	1
LRG_384	MYH7	public	14	23879947	23909870	-1
LRG_385	LDB3	public	10	88423321	88497825	1
LRG_386	MYBPC3	public	11	47350957	47379253	-1
LRG_387	TPM1	pending	15	63329838	63366114	1
LRG_388	ACTC1	public	15	35078297	35092927	-1
LRG_389	MYH6	public	14	23849199	23882486	-1
LRG_390	PLN	public	6	118864442	118883587	1
LRG_391	TTN	public	2	179388716	179700529	-1
LRG_392	MYLK2	public	20	30402178	30424500	1
LRG_393	MYL2	public	12	111346649	111363381	-1
LRG_394	JPH2	public	20	42738337	42821218	-1
LRG_395	MYL3	public	3	46897357	46928659	-1
LRG_396	MYOZ2	public	4	120051939	120110944	1
LRG_397	DSG2	public	18	29073205	29130971	1
LRG_398	PKP2	public	12	32941680	33054780	-1
LRG_399	TGFB3	public	14	76422442	76453092	-1
LRG_400	DSC2	public	18	28643942	28687388	-1
LRG_401	JUP	public	17	39773692	39947964	-1
LRG_402	RYR2	pending	1	237200702	238131359	1
LRG_403	BMP10	public	2	69090613	69103649	-1
LRG_404	CASQ2	public	1	116240624	116316426	-1
LRG_405	CHRM2	public	7	136548399	136707002	1
LRG_406	COX15	public	10	101466505	101497423	-1
LRG_407	CRYAB	pending	11	111777350	111799446	-1
LRG_408	CTF1	public	16	30902928	30916881	1
LRG_409	LAMA2	public	6	129199286	129842661	1
LRG_410	MYPN	public	10	69860874	69973774	1
LRG_411	NEBL	public	10	21066902	21468116	-1
LRG_412	OBSCN	pending	1	228390861	228568575	1
LRG_413	RAF1	public	3	12623108	12710678	-1
LRG_414	SRI	public	7	87832432	87861308	-1
LRG_415	SYNM	public	15	99633420	99677800	1
LRG_416	TTR	public	18	29166730	29180987	1
LRG_417	TXNRD2	public	22	19861040	19934359	-1
LRG_418	EYA4	pending	6	133557495	133855258	1
LRG_419	GPD1L	public	3	32143003	32212207	1
LRG_420	SCN1B	pending	19	35516592	35533353	1
LRG_421	SCN3B	public	11	123497895	123530315	-1
LRG_422	CALR3	public	19	16587868	16744015	-1
LRG_423	DSP	public	6	7536870	7588946	1
LRG_424	ADORA3	public	1	112023970	112111597	-1
LRG_425	FLT1	pending	13	28872483	29074265	-1
LRG_426	MYOM1	public	18	3064805	3225106	-1
LRG_427	SYNE1	pending	6	152440822	152963534	-1
LRG_428	TP63	pending	3	189344216	189617068	1
LRG_429	ACTA1	public	1	229564992	229574843	-1
LRG_430	PRKAG2	pending	7	151251200	151579316	-1
LRG_431	TNNT2	pending	1	201326142	201351805	-1
LRG_432	TNNI3	public	19	55661135	55674100	-1
LRG_433	LAMA4	public	6	112427134	112580828	-1
LRG_434	FKTN	public	9	108315411	108405399	1
LRG_435	TMEM43	public	3	14161440	14187180	1
LRG_436	ACTN2	pending	1	236844770	236929558	1
LRG_437	CACNA2D1	public	7	81573760	82078031	-1
LRG_438	MYO6	pending	6	76453909	76631254	1
LRG_439	KCNE3	public	11	74163886	74183600	-1
LRG_440	CSRP3	public	11	19201578	19237120	-1
LRG_441	SLC25A4	pending	4	186059417	186073538	1
LRG_442	NEXN	public	1	78349200	78411580	1
LRG_443	TMPO	public	12	98904351	98946157	1
LRG_444	ILK	public	11	6619964	6634101	1
LRG_445	KCND3	public	1	112311284	112536777	-1
LRG_446	TCF21	public	6	134205259	134218675	1
LRG_447	HMGCS2	public	1	120288619	120316555	-1
LRG_448	ACAD8	public	11	134118434	134137749	1
LRG_449	AUH	public	9	93974097	94129206	-1
LRG_450	HSD17B10	public	X	53456206	53466323	-1
LRG_451	ACADSB	public	10	124763429	124819806	1
LRG_452	FOXD4	public	9	114234	123417	-1
LRG_453	PIK3R1	pending	5	67506584	67599649	1
LRG_454	FKBP14	public	7	30048199	30071417	-1
LRG_455	ROGDI	public	16	4844963	4857951	-1
LRG_456	CEBPA	public	19	33788840	33798430	-1
LRG_457	FLT3	public	13	28574753	28679705	-1
LRG_458	NPM1	public	5	170809708	170839888	1
LRG_459	DNMT3A	public	2	25448724	25570459	-1
LRG_460	AIP	public	11	67245505	67260579	1
LRG_461	ERCC2	public	19	45852649	45878845	-1
LRG_462	ERCC3	public	2	128012866	128056752	-1
LRG_463	ERCC4	public	16	14009014	14048205	1
LRG_464	ERCC5	public	13	103493174	103530345	1
LRG_465	ERCC6	public	10	50662491	50752147	-1
LRG_466	ERCC8	public	5	60167659	60245905	-1
LRG_467	DDB2	public	11	47231493	47262769	1
LRG_468	MPLKIP	pending	7	40163622	40179251	-1
LRG_469	GTF2H5	public	6	158584379	158622376	1
LRG_470	POLH	public	6	43538878	43590260	1
LRG_471	XPA	public	9	100435191	100464691	-1
LRG_472	XPC	public	3	14184647	14225172	-1
LRG_473	COL6A3	public	2	238230655	238327850	-1
LRG_474	DDB1	public	11	61064919	61115068	-1
LRG_475	COL6A1	public	21	47396663	47426963	1
LRG_476	COL6A2	public	21	47513033	47554763	1
LRG_477	GP9	public	3	128774645	128783253	1
LRG_478	GP1BB	public	22	19706066	19714297	1
LRG_479	ITGA2B	public	17	42447550	42471873	-1
LRG_480	GP1BA	pending	17	4830590	4840323	1
LRG_481	ITGB3	public	17	45326208	45423658	1
LRG_482	RUNX1	public	21	36158098	37362008	-1
LRG_483	HNF4A	public	20	42979441	43062030	1
LRG_484	GLE1	public	9	131261971	131306580	1
LRG_485	CSTB	public	21	45191831	45201259	-1
LRG_486	TSC1	public	9	135764735	135825020	-1
LRG_487	TSC2	public	16	2094307	2141120	1
LRG_488	ALK	public	2	29413640	30149432	-1
LRG_489	BUB1B	public	15	40448210	40515337	1
LRG_490	CDK4	public	12	58140003	58151164	-1
LRG_491	CYLD	public	16	50770961	50837846	1
LRG_492	DICER1	public	14	95550565	95628759	-1
LRG_493	EXT1	public	8	118804729	119129058	-1
LRG_494	EXT2	public	11	44112099	44268980	1
LRG_495	FANCA	public	16	89801959	89888065	-1
LRG_496	FANCB	public	X	14859529	14896184	-1
LRG_497	FANCC	public	9	97859336	98084991	-1
LRG_498	FANCE	public	6	35415138	35436881	1
LRG_499	FANCG	public	9	35071835	35085013	-1
LRG_500	FANCI	public	15	89782194	89862362	1
LRG_501	FANCL	public	2	58384378	58473514	-1
LRG_502	FANCM	public	14	45600136	45672090	1
LRG_503	SLX4	public	16	3629182	3666585	-1
LRG_504	FH	public	1	241658903	241688054	-1
LRG_505	GPC3	public	X	132667773	133124666	-1
LRG_506	HRAS	pending	11	530242	540550	-1
LRG_507	CDC73	public	1	193086088	193225945	1
LRG_508	LMO1	pending	11	8243851	8295182	-1
LRG_509	MEN1	public	11	64568986	64583766	-1
LRG_510	MPL	public	1	43798475	43822135	1
LRG_511	NF2	public	22	29994545	30096589	1
LRG_512	NSD1	public	5	176555080	176729214	1
LRG_513	PHOX2B	public	4	41744099	41755987	-1
LRG_514	PRKAR1A	public	17	66404764	66549457	1
LRG_515	PTCH1	public	9	98203264	98284247	-1
LRG_516	RAD51D	public	17	33424811	33451888	-1
LRG_517	RB1	public	13	48872883	49058026	1
LRG_518	RET	public	10	43567517	43627799	1
LRG_519	SDHAF2	public	11	61192597	61216239	1
LRG_520	SMARCB1	public	22	24124150	24178705	1
LRG_521	SUFU	public	10	104258719	104395214	1
LRG_522	HNF1A	public	12	121411549	121442315	1
LRG_523	TSHR	public	14	81416869	81614646	1
LRG_524	WRN	public	8	30885778	31033277	1
LRG_525	WT1	public	11	32407325	32462087	-1
LRG_526	CEP57	public	11	95518625	95567857	1
LRG_527	FANCF	public	11	22642079	22652387	-1
LRG_528	TMEM127	public	2	96913946	96936751	-1
LRG_529	BAP1	public	3	52433024	52449009	-1
LRG_530	MAX	public	14	65470892	65574227	-1
LRG_531	EZH2	public	7	148502464	148586441	-1
LRG_532	RHBDF2	public	17	74464975	74502509	-1
LRG_533	CDKN1C	public	11	2902448	2911995	-1
LRG_534	DIS3L2	public	2	232821293	233210678	1
LRG_535	STK4	public	20	43590120	43710594	1
LRG_536	FSHR	public	2	49187652	49386630	-1
LRG_537	AMT	public	3	49452211	49465111	-1
LRG_538	KERA	public	12	91442268	91457131	-1
LRG_539	BCS1L	public	2	219519379	219530166	1
LRG_540	CUBN	public	10	16863965	17176816	-1
