# Last modified: 07-11-2017@22:04:34
# LRG_TRANSCRIPT	HGNC_SYMBOL	CHROMOSOME	STRAND	TRANSCRIPT_START	TRANSCRIPT_STOP	EXONS_COORDS	LRG_PROTEIN	CDS_START	CDS_STOP
LRG_19t1	XIAP	X	1	123860167	123913979	123860167-123860293,123885631-123886539,123888619-123888718,123891238-123891316,123892731-123892773,123900493-123900693,123906988-123913979	LRG_19p1	123885663	123907181
LRG_20t1	BLM	15	1	90717348	90815456	90717348-90717440,90747389-90747490,90749367-90750067,90751787-90751946,90754811-90754938,90760147-90760279,90760594-90761255,90762966-90763157,90765296-90765414,90766910-90767023,90769133-90769231,90769438-90769586,90782822-90782928,90784921-90785081,90790649-90790844,90794167-90794357,90798190-90798337,90803521-90803720,90804167-90804359,90809137-90809259,90811205-90811406,90815102-90815456	LRG_20p1	90747393	90815279
LRG_21t1	BLNK	10	-1	96191699	96271576	96191699-96192092,96196908-96197063,96200075-96200158,96200982-96201058,96204057-96204088,96204532-96204616,96207011-96207053,96207872-96207899,96209838-96209907,96215321-96215389,96216653-96216734,96223826-96223989,96227410-96227566,96230794-96230834,96242735-96242784,96246984-96247049,96271352-96271576	LRG_21p1	96191973	96271398
LRG_22t1	C1QA	1	1	22636625	22639682	22636625-22636702,22637610-22637779,22638833-22639682	LRG_22p1	22637617	22639407
LRG_23t1	C1QB	1	1	22653189	22661536	22653189-22653303,22659440-22659643,22660812-22661536	LRG_23p1	22659457	22661386
LRG_24t1	C1QC	1	1	22643625	22648110	22643625-22643737,22644011-22644204,22647227-22648110	LRG_24p1	22644024	22647783
LRG_24t2	C1QC	1	1	22643654	22648110	22643654-22643714,22644011-22644204,22647227-22648110	LRG_24p2	22644024	22647783
LRG_25t1	C1S	12	1	7060676	7071032	7060676-7060877,7061839-7061917,7062475-7062682,7062890-7063067,7064267-7064392,7065100-7065299,7065817-7065970,7066518-7066633,7067039-7067117,7067643-7067771,7068456-7068530,7069855-7071032	LRG_25p1	7061913	7070651
LRG_26t1	C2	6	1	31927489	31945672	31927489-31927798,31927955-31928164,31928732-31928917,31933610-31933783,31933867-31933965,31934166-31934299,31935923-31936061,31937319-31937459,31939231-31939320,31942959-31943099,31943225-31943319,31943416-31943527,31943644-31943809,31943917-31943993,31944135-31944226,31944727-31944853,31944980-31945029,31945178-31945672	LRG_26p1	31927753	31945357
LRG_27t1	C3	19	-1	6677835	6720651	6677835-6678023,6678152-6678287,6678372-6678455,6679125-6679208,6679407-6679496,6680158-6680263,6681941-6682030,6682142-6682229,6684388-6684439,6684560-6684650,6684775-6684834,6684988-6685146,6686124-6686287,6686746-6686902,6690629-6690727,6692924-6693083,6693412-6693487,6694431-6694634,6696379-6696465,6696593-6696659,6697344-6697556,6697652-6697794,6702127-6702212,6702471-6702579,6707076-6707273,6707466-6707537,6707800-6707929,6709684-6709842,6710639-6710845,6710987-6711196,6712257-6712406,6712508-6712623,6713189-6713315,6713407-6713509,6713992-6714082,6714166-6714248,6714352-6714446,6718094-6718164,6718247-6718412,6719211-6719403,6720516-6720651	LRG_27p1	6677882	6720589
LRG_28t1	C5	9	-1	120952335	121050276	120952335-120952868,120953730-120953868,120957285-120957368,120960248-120960337,120961482-120961565,120962671-120962776,120962893-120962967,120963636-120963738,120969061-120969118,120970170-120970251,120971930-120971992,120974779-120974931,120976700-120976905,120980083-120980254,120981844-120981939,120982655-120982814,120989046-120989121,120989568-120989780,120991191-120991280,120996240-120996300,120997547-120997774,121005919-121006058,121006904-121006977,121008408-121008498,121013873-121014070,121015199-121015261,121016254-121016383,121017362-121017511,121017643-121017852,121019976-121020179,121021509-121021694,121023404-121023519,121025454-121025580,121027160-121027274,121030397-121030487,121032113-121032195,121034803-121034894,121037881-121037951,121043004-121043166,121046191-121046383,121050182-121050276	LRG_28p1	120952739	121050246
LRG_29t1	C6	5	-1	41142234	41213565	41142234-41143006,41149241-41149482,41149935-41150025,41153810-41153998,41154972-41155104,41158674-41158785,41159082-41159253,41160142-41160367,41161693-41161859,41172225-41172347,41176475-41176715,41181359-41181559,41186070-41186208,41195792-41195933,41199768-41199912,41201558-41201714,41203088-41203250,41213376-41213565	LRG_29p1	41142825	41203230
LRG_30t1	C7	5	1	40909497	40982939	40909497-40909616,40928580-40928635,40931064-40931139,40934325-40934466,40936338-40936485,40937552-40937690,40945198-40945368,40947602-40947845,40949904-40950014,40955387-40955553,40958033-40958261,40959449-40959620,40962085-40962172,40964741-40964873,40972403-40972594,40976750-40976840,40979725-40979909,40981392-40982939	LRG_30p1	40909611	40981573
LRG_31t1	C8B	1	-1	56929210	56966015	56929210-56929558,56931810-56931878,56933335-56933488,56940849-56941012,56943696-56943824,56945821-56946061,56949555-56949752,56952048-56952180,56954686-56954827,56956769-56956910,56960020-56960176,56965857-56966015	LRG_31p1	56929404	56965948
LRG_32t1	C9	5	-1	39284275	39364553	39284275-39285233,39288723-39288951,39306617-39306792,39308230-39308358,39311137-39311377,39315775-39316029,39331676-39331814,39341146-39341293,39341556-39341700,39342091-39342196,39364388-39364553	LRG_32p1	39285199	39364464
LRG_33t1	CASP10	2	1	201182898	201221660	201182898-201183308,201185771-201186124,201187706-201187799,201192984-201193119,201195842-201195948,201203730-201203766,201205882-201205973,201208075-201208183,201209070-201209562,201217588-201221660	LRG_33p1	201185778	201217741
LRG_34t1	CASP8	2	1	201233443	201287711	201233443-201233622,201234016-201234112,201266461-201266791,201269510-201269605,201271516-201271621,201272638-201272776,201274889-201274953,201276827-201276968,201284816-201285317,201286459-201287711	LRG_34p1	201266487	201286594
LRG_34t2	CASP8	2	1	201233443	201287711	201233443-201233554,201234016-201234112,201266487-201266791,201271516-201271621,201272638-201272776,201272898-201272942,201274889-201274953,201276827-201276968,201284816-201285317,201286459-201287711	LRG_34p2	201266487	201286594
LRG_35t1	CD19	16	1	28931939	28939347	28931939-28932088,28932346-28932612,28932911-28933114,28933234-28933509,28935444-28935554,28936153-28936201,28936512-28936600,28937023-28937136,28937271-28937375,28937455-28937523,28937624-28937680,28937769-28937825,28938676-28938768,28938872-28938978,28939141-28939347	LRG_35p1	28932001	28938963
LRG_36t1	CD247	1	-1	167430640	167518610	167430640-167431746,167433024-167433059,167434020-167434076,167435399-167435434,167438570-167438650,167439344-167439400,167440664-167440767,167518408-167518610	LRG_36p1	167431681	167518465
LRG_37t1	CD3D	11	-1	118339074	118342744	118339074-118339227,118339451-118339494,118339775-118339906,118340375-118340593,118342553-118342744	LRG_37p1	118339162	118342607
LRG_38t1	CD3E	11	1	118304580	118316175	118304580-118304776,118304894-118305001,118307288-118307308,118308427-118308441,118312153-118312170,118312618-118312866,118313707-118313874,118314448-118314494,118315486-118316175	LRG_38p1	118304953	118315542
LRG_39t1	CD3G	11	1	118344344	118353782	118344344-118344478,118349027-118349050,118349743-118349970,118350552-118350683,118351628-118351671,118352404-118352487,118353119-118353782	LRG_39p1	118344424	118352469
LRG_40t1	CD40	20	1	46118267	46129745	46118267-46118394,46121820-46121898,46122233-46122358,46122610-46122756,46123126-46123219,46126640-46126701,46128138-46128224,46128330-46128358,46128882-46129745	LRG_40p1	46118344	46129040
LRG_41t1	CD59	11	-1	33703010	33736479	33703010-33710343,33717370-33717471,33722379-33722463,33731424-33731468,33733495-33733610,33736382-33736479	LRG_41p1	33710126	33722445
LRG_42t1	CD79A	19	1	41877120	41881372	41877120-41877383,41878990-41879289,41879535-41879653,41880670-41880738,41880867-41881372	LRG_42p1	41877305	41880980
LRG_43t1	CD79B	17	-1	63928738	63932344	63928738-63929324,63929434-63929475,63929770-63929888,63930074-63930385,63931335-63931388,63932195-63932344	LRG_43p1	63929226	63932261
LRG_44t1	CD8A	2	-1	86784605	86791714	86784605-86785971,86788530-86788560,86789323-86789433,86789640-86789750,86790328-86790681,86790777-86791714	LRG_44p1	86785920	86790825
LRG_45t1	CEBPE	14	-1	23117306	23119265	23117306-23117822,23118582-23119265	LRG_45p1	23117487	23119091
LRG_46t1	CFD	19	1	859665	863624	859665-859744,860617-860773,860861-861005,861699-861956,863092-863624	LRG_46p1	859690	863238
LRG_47t1	CFH	1	1	196651878	196747504	196651878-196652175,196672978-196673163,196673857-196673962,196675989-196676065,196677476-196677667,196679623-196679793,196685064-196685237,196689420-196689614,196690063-196690239,196713735-196713917,196715593-196715769,196725121-196725297,196726470-196726652,196726761-196726940,196728346-196728522,196736824-196737006,196737475-196737660,196740619-196740792,196741875-196742051,196743452-196743628,196745817-196745999,196747111-196747504	LRG_47p1	196652118	196747313
LRG_48t1	CFI	4	-1	109740692	109802179	109740692-109741110,109742491-109742595,109746222-109746502,109749218-109749321,109749499-109749602,109752468-109752503,109757763-109757783,109760270-109760380,109760523-109760636,109761517-109761692,109764537-109764690,109766554-109766824,109801915-109802179	LRG_48p1	109740893	109801971
LRG_49t1	CIITA	16	1	10877198	10924983	10877198-10877382,10895282-10895428,10895669-10895764,10898670-10898732,10898925-10899002,10901514-10901558,10902038-10902184,10902658-10902801,10903731-10903895,10904744-10904812,10906499-10908149,10909029-10909187,10910188-10910259,10915570-10915650,10916367-10916459,10918440-10918526,10922167-10922250,10922407-10922490,10923228-10923325,10923878-10924983	LRG_49p1	10877331	10923303
LRG_50t1	CTSC	11	-1	88293592	88337773	88293592-88294508,88296133-88296264,88300530-88300645,88309163-88309318,88312388-88312554,88334937-88335082,88337501-88337773	LRG_50p1	88294006	88337672
LRG_51t1	CXCR4	2	-1	136114349	136118155	136114349-136115912,136118046-136118155	LRG_51p1	136114869	136118060
LRG_52t1	CYBA	16	-1	88643289	88651049	88643289-88643571,88646116-88646197,88646755-88646838,88647101-88647175,88648045-88648114,88650956-88651049	LRG_52p1	88643353	88651013
LRG_53t1	CYBB	X	1	37780017	37813461	37780017-37780122,37782088-37782183,37783490-37783600,37791975-37792059,37793665-37793810,37795951-37796141,37798955-37799084,37801256-37801348,37803877-37804130,37805006-37805168,37806387-37806533,37809567-37809691,37810791-37813461	LRG_53p1	37780078	37810917
LRG_54t1	DCLRE1C	10	-1	14906871	14954095	14906871-14909330,14919738-14919832,14922981-14923069,14926843-14926897,14928016-14928152,14932854-14932955,14934380-14934520,14934703-14934775,14935463-14935564,14936538-14936593,14939810-14939869,14945105-14945189,14949036-14949087,14953902-14954095	LRG_54p1	14908408	14954010
LRG_55t1	DKC1	X	1	154762756	154777689	154762756-154762981,154764899-154764966,154765444-154765530,154765907-154765998,154766216-154766400,154766997-154767061,154767256-154767382,154768302-154768432,154769167-154769310,154770759-154770879,154773131-154773249,154774602-154774705,154775195-154775273,154776187-154776324,154776799-154777689	LRG_55p1	154762966	154776867
LRG_56t1	DNMT3B	20	1	32762385	32809356	32762385-32762699,32780318-32780465,32781353-32781414,32784758-32784859,32786502-32786627,32787230-32787451,32788854-32789012,32791601-32791708,32792626-32792770,32793536-32793595,32795409-32795534,32795650-32795694,32796790-32796869,32797187-32797299,32798460-32798643,32799244-32799328,32800153-32800298,32800835-32800925,32801278-32801426,32802385-32802470,32805338-32805407,32806209-32806327,32807762-32809356	LRG_56p1	32780324	32807903
LRG_57t1	ELANE	19	1	852291	856246	852291-852395,852876-853032,853262-853403,855564-855794,855958-856246	LRG_57p1	852329	856164
LRG_58t1	FASLG	1	1	172659045	172666873	172659045-172659549,172660095-172660140,172664334-172664390,172665622-172666873	LRG_58p1	172659202	172666016
LRG_59t1	FCGR1A	1	1	149782694	149792518	149782694-149782774,149783170-149783190,149784003-149784257,149788366-149788617,149790054-149790338,149791237-149792518	LRG_59p1	149782744	149791517
LRG_60t1	FCGR3A	1	-1	161541759	161550623	161541759-161543199,161544701-161544958,161548421-161548678,161549011-161549031,161549697-161549798,161550531-161550623	LRG_60p1	161543012	161549736
LRG_61t1	FOXN1	17	1	28523941	28538157	28523941-28524092,28524503-28524967,28527251-28527361,28529094-28529224,28530749-28530845,28534331-28534538,28534707-28535198,28537117-28538157	LRG_61p1	28523970	28537436
LRG_62t1	FOXP3	X	-1	49250436	49264825	49250436-49251483,49251664-49251765,49253126-49253202,49253917-49254067,49255429-49255509,49255715-49255802,49256745-49256849,49256919-49257006,49257421-49257559,49257658-49257762,49258290-49258521,49264660-49264825	LRG_62p1	49251334	49258499
LRG_63t1	GFI1	1	-1	92474761	92486876	92474761-92476207,92478588-92478753,92480348-92480485,92480601-92481088,92482864-92483046,92483373-92483586,92486726-92486876	LRG_63p1	92476029	92483487
LRG_64t1	HAX1	1	1	154272563	154275875	154272563-154272776,154273336-154273598,154273774-154273961,154274950-154275001,154275154-154275260,154275393-154275483,154275616-154275875	LRG_64p1	154272724	154275701
LRG_65t1	ICOS	2	1	203936748	203961577	203936748-203936872,203955636-203955971,203956659-203956765,203957799-203957883,203959586-203961577	LRG_65p1	203936815	203959599
LRG_66t1	IFNGR1	6	-1	137197484	137219430	137197484-137198639,137200881-137201008,137203499-137203685,137204332-137204504,137206136-137206308,137206963-137207077,137219243-137219430	LRG_66p1	137198031	137219327
LRG_67t1	IFNGR2	21	1	33402896	33437521	33402896-33403616,33414888-33415020,33421480-33421685,33426884-33427032,33432177-33432336,33432714-33432871,33436828-33437521	LRG_67p1	33403544	33436962
LRG_68t1	IGFBP3	7	-1	45912245	45921272	45912245-45913834,45914805-45914945,45916548-45916667,45917213-45917439,45920720-45921272	LRG_68p1	45914820	45921140
LRG_69t1	IGLL1	22	-1	23573125	23580308	23573125-23573585,23574967-23575082,23579985-23580308	LRG_69p1	23573266	23580190
LRG_70t1	IKBKG	X	1	154547847	154565046	154547847-154548089,154551988-154552189,154556165-154556376,154558532-154558650,154560407-154560559,154561688-154561784,154562810-154562953,154563559-154563701,154563959-154564020,154564319-154565046	LRG_70p1	154552003	154564461
LRG_71t1	IL12B	5	-1	159314783	159330473	159314783-159316100,159316685-159316816,159318736-159318893,159320306-159320520,159322394-159322511,159323054-159323329,159326695-159326782,159330432-159330473	LRG_71p1	159316685	159326782
LRG_72t1	IL12RB1	19	-1	18059561	18086887	18059561-18059613,18059894-18060085,18061122-18061197,18062181-18062277,18063876-18064010,18066542-18066697,18068389-18068526,18069546-18069713,18072112-18072349,18073517-18073599,18075749-18075868,18076297-18076327,18077516-18077655,18080832-18081001,18082150-18082264,18083432-18083491,18086760-18086887	LRG_72p1	18059608	18086823
LRG_73t1	IL2RA	10	-1	6010694	6062370	6010694-6012896,6018053-6018119,6019428-6019499,6019870-6019941,6021478-6021693,6024244-6024354,6025834-6026025,6062088-6062370	LRG_73p1	6012872	6062151
LRG_74t1	IL7R	5	1	35856889	35876822	35856889-35857059,35860852-35860990,35867306-35867463,35871056-35871213,35873480-35873648,35874449-35874542,35875512-35875587,35875983-35876822	LRG_74p1	35856978	35876486
LRG_75t1	IRAK4	12	1	43758944	43789543	43758944-43759016,43768103-43768272,43771220-43771365,43772180-43772362,43772912-43773072,43773965-43774029,43777630-43777744,43778193-43778302,43782307-43782490,43783662-43783724,43786399-43786557,43786680-43789543	LRG_75p1	43768112	43786715
LRG_76t1	ITGB2	21	-1	44885953	44921050	44885953-44886430,44886736-44886902,44888693-44888895,44889276-44889495,44889978-44890222,44891809-44891996,44893404-44893544,44894971-44895060,44899067-44899162,44900320-44900475,44901492-44901733,44903365-44903535,44906915-44907095,44910284-44910372,44910725-44910785,44920821-44921050	LRG_76p1	44886368	44910782
LRG_77t1	JAK3	19	-1	17824782	17848032	17824782-17826910,17830108-17830218,17830503-17830620,17831228-17831400,17831674-17831798,17832519-17832708,17832790-17832929,17834571-17834721,17834852-17835003,17835083-17835215,17835924-17836051,17837129-17837213,17837932-17838063,17838263-17838390,17839477-17839663,17840230-17840341,17841389-17841546,17841640-17841762,17842316-17842610,17843027-17843172,17843380-17843491,17843777-17843900,17844234-17844430,17847946-17848032	LRG_77p1	17826743	17844417
LRG_78t1	LIG1	19	-1	48115446	48170303	48115446-48115732,48115873-48115965,48117638-48117781,48119137-48119190,48121170-48121322,48122934-48123016,48123174-48123318,48127277-48127348,48127910-48128020,48131076-48131171,48132982-48133097,48133981-48134066,48135680-48135779,48136034-48136125,48137008-48137084,48137522-48137688,48139971-48140143,48143543-48143599,48143883-48143963,48149763-48149841,48150088-48150210,48151232-48151339,48153872-48153967,48157014-48157140,48161372-48161507,48162262-48162351,48165550-48165623,48170241-48170303	LRG_78p1	48115649	48165566
LRG_79t1	LIG4	13	-1	108207442	108214782	108207442-108211296,108214538-108214782	LRG_79p1	108208533	108211268
LRG_80t1	LRRC8A	9	1	128882112	128918039	128882112-128882250,128886015-128886121,128907157-128909321,128916096-128918039	LRG_80p1	128907165	128916371
LRG_81t1	LAMTOR2	1	1	156054726	156058510	156054726-156054957,156055263-156055425,156057978-156058067,156058315-156058510	LRG_81p1	156054890	156058371
LRG_82t1	MASP2	1	-1	11026523	11047239	11026523-11027648,11030176-11030250,11030748-11030882,11034828-11034906,11037693-11037811,11042875-11043022,11043339-11043535,11045408-11045539,11046556-11046733,11046891-11047119,11047203-11047239	LRG_82p1	11026885	11047207
LRG_82t2	MASP2	1	-1	11044798	11047239	11044798-11044953,11045408-11045539,11046556-11046733,11046891-11047119,11047203-11047239	LRG_82p2	11044940	11047207
LRG_83t1	MLPH	2	1	237487235	237555318	237487235-237487437,237493403-237493536,237510574-237510795,237510989-237511101,237518539-237518648,237519910-237520029,237525601-237525805,237527377-237527516,237534564-237534647,237540348-237540533,237540802-237540957,237542567-237542659,237546606-237546683,237549221-237549278,237552337-237552437,237553566-237555318	LRG_83p1	237493427	237553592
LRG_84t1	MPO	17	-1	58269856	58280935	58269856-58270863,58271655-58271892,58272748-58272918,58273414-58273669,58275542-58275702,58277827-58278145,58279008-58279214,58279297-58279426,58279523-58279646,58279839-58280014,58280366-58280459,58280605-58280935	LRG_84p1	58270656	58280758
LRG_85t1	MRE11	11	-1	94417300	94493874	94417300-94420181,94429911-94429986,94435832-94435899,94437177-94437235,94445810-94445893,94447219-94447438,94456276-94456338,94459408-94459581,94460936-94461036,94464113-94464239,94467813-94467893,94470471-94470642,94471574-94471759,94476289-94476403,94478735-94478876,94479674-94479761,94485924-94486084,94490833-94490965,94492782-94492906,94493791-94493874	LRG_85p1	94420125	94492801
LRG_86t1	MYO5A	15	-1	52307283	52529050	52307283-52313848,52314123-52314203,52317048-52317222,52319060-52319342,52321359-52321509,52323355-52323444,52327852-52328006,52330353-52330499,52336463-52336556,52340196-52340394,52343117-52343197,52346361-52346461,52348818-52348826,52351254-52351481,52353605-52353658,52353871-52354014,52359968-52360081,52364554-52364702,52367031-52367124,52370169-52370417,52372124-52372363,52375304-52375460,52376347-52376558,52379625-52379733,52379822-52379908,52383091-52383188,52384161-52384322,52387829-52387912,52389238-52389363,52391930-52392070,52396316-52396397,52397201-52397466,52405287-52405393,52407292-52407399,52408059-52408140,52410333-52410476,52416145-52416301,52425830-52425974,52428398-52428569,52433175-52433285,52528780-52529050	LRG_86p1	52313696	52528806
LRG_87t1	NCF1	7	1	74773962	74789376	74773962-74774103,74777267-74777347,74779082-74779157,74779257-74779422,74780780-74780835,74782939-74783061,74783525-74783632,74785182-74785299,74787984-74788088,74788559-74788704,74789039-74789376	LRG_87p1	74774032	74789160
